============================= test session starts ==============================
platform linux -- Python 3.6.6, pytest-4.0.0, py-1.7.0, pluggy-0.8.0 -- /home/finkernagel/upstream/dev/bin/python3
cachedir: .pytest_cache
rootdir: /home/finkernagel/upstream/dppd, inifile: setup.cfg
    def test_grouped_mutate_repeated_keys():
        df = mtcars.copy()
        df.index = list(range(16)) + list(range(16))
        should = df.assign(grp_rank=df.groupby("cyl")["hp"].rank())[
            ["cyl", "name", "grp_rank"]
        ].sort_values("name")
        with dppd(df) as (ddf, X):
            actual = (
>               ddf.group_by("cyl")
                .mutate(
                    grp_rank={grp: sub_df.hp.rank() for (grp, sub_df) in X.itergroups()}
                )
                .select(["name", "grp_rank"])
                .sort_index()
            )

tests/test_single_verbs.py:315: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddbd4e240>
attr = 'mutate'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'mutate'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
___________________________ test_grouped_reset_index ___________________________

    def test_grouped_reset_index():
>       actual = dp(mtcars).group_by("cyl").reset_index().pd

tests/test_single_verbs.py:345: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:762: in __getattr__
    return self._make_wrapper(attr)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddbf074e0>
name = 'reset_index'

    def _make_wrapper(self, name):
        if name not in self._apply_whitelist:
            is_callable = callable(getattr(self._selected_obj, name, None))
            kind = ' callable ' if is_callable else ' '
            msg = ("Cannot access{0}attribute {1!r} of {2!r} objects, try "
                   "using the 'apply' method".format(kind, name,
                                                     type(self).__name__))
>           raise AttributeError(msg)
E           AttributeError: Cannot access callable attribute 'reset_index' of 'DataFrameGroupBy' objects, try using the 'apply' method

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:799: AttributeError
________________________ test_grouped_mutate_non_sorted ________________________

    def test_grouped_mutate_non_sorted():
        actual = (
            dp(mtcars)
>           .group_by("cyl")
            .mutate(grp_rank={grp: sub_df.hp.rank() for (grp, sub_df) in X.itergroups()})
            .select("grp_rank")
            .pd.sort_index()
        )

tests/test_single_verbs.py:356: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc265b00>
attr = 'mutate'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'mutate'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
_____________________ test_group_by_two_summarize_grouped ______________________

    def test_group_by_two_summarize_grouped():
>       actual = dp(diamonds).group_by("color", "cut").summarise(("price", len, "count")).pd

tests/test_single_verbs.py:371: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc265eb8>
attr = 'summarise'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'summarise'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
_______________________ test_group_by_two_mutate_grouped _______________________

    def test_group_by_two_mutate_grouped():
        actual = (
            dp(mtcars)
>           .group_by("cyl", "vs")
            .mutate(grp_rank={grp: sub_df.hp.rank() for (grp, sub_df) in X.itergroups()})
            .select("grp_rank")
            .pd.sort_index()
        )

tests/test_single_verbs.py:381: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc248fd0>
attr = 'mutate'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'mutate'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
__________________ test_select_does_not_remove_group_columns ___________________

    def test_select_does_not_remove_group_columns():
>       actual = dp(mtcars).group_by("cyl").select("name").pd

tests/test_single_verbs.py:396: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:762: in __getattr__
    return self._make_wrapper(attr)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc248cc0>
name = 'select'

    def _make_wrapper(self, name):
        if name not in self._apply_whitelist:
            is_callable = callable(getattr(self._selected_obj, name, None))
            kind = ' callable ' if is_callable else ' '
            msg = ("Cannot access{0}attribute {1!r} of {2!r} objects, try "
                   "using the 'apply' method".format(kind, name,
                                                     type(self).__name__))
>           raise AttributeError(msg)
E           AttributeError: Cannot access callable attribute 'select' of 'DataFrameGroupBy' objects, try using the 'apply' method

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:799: AttributeError
___________________ test_unselected_group_columns_is_ignored ___________________

    def test_unselected_group_columns_is_ignored():
>       actual = dp(mtcars).group_by("cyl").unselect("cyl").pd

tests/test_single_verbs.py:401: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddbf07ef0>
attr = 'unselect'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'unselect'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
____________________ test_dropping_group_columns_is_ignored ____________________

    def test_dropping_group_columns_is_ignored():
>       actual = dp(mtcars).group_by("cyl").drop("cyl", axis=1).pd

tests/test_single_verbs.py:406: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:762: in __getattr__
    return self._make_wrapper(attr)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc255ba8>
name = 'drop'

    def _make_wrapper(self, name):
        if name not in self._apply_whitelist:
            is_callable = callable(getattr(self._selected_obj, name, None))
            kind = ' callable ' if is_callable else ' '
            msg = ("Cannot access{0}attribute {1!r} of {2!r} objects, try "
                   "using the 'apply' method".format(kind, name,
                                                     type(self).__name__))
>           raise AttributeError(msg)
E           AttributeError: Cannot access callable attribute 'drop' of 'DataFrameGroupBy' objects, try using the 'apply' method

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:799: AttributeError
_________________________ test_accessor_drops_grouping _________________________

    def test_accessor_drops_grouping():
>       actual = dp(mtcars).group_by("cyl").loc[:, ["name"]]

tests/test_single_verbs.py:411: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:762: in __getattr__
    return self._make_wrapper(attr)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddbd9e390>
name = 'loc'

    def _make_wrapper(self, name):
        if name not in self._apply_whitelist:
            is_callable = callable(getattr(self._selected_obj, name, None))
            kind = ' callable ' if is_callable else ' '
            msg = ("Cannot access{0}attribute {1!r} of {2!r} objects, try "
                   "using the 'apply' method".format(kind, name,
                                                     type(self).__name__))
>           raise AttributeError(msg)
E           AttributeError: Cannot access callable attribute 'loc' of 'DataFrameGroupBy' objects, try using the 'apply' method

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:799: AttributeError
________________ test_groupby_sort_changes_order_but_not_result ________________

    def test_groupby_sort_changes_order_but_not_result():
        a = (
            dp(mtcars)
>           .group_by("cyl")
            .sort_values("hp")
            .mutate(count={grp: len(sub_df) for (grp, sub_df) in X.itergroups()})
            .pd
        )

tests/test_single_verbs.py:421: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:762: in __getattr__
    return self._make_wrapper(attr)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc20a278>
name = 'sort_values'

    def _make_wrapper(self, name):
        if name not in self._apply_whitelist:
            is_callable = callable(getattr(self._selected_obj, name, None))
            kind = ' callable ' if is_callable else ' '
            msg = ("Cannot access{0}attribute {1!r} of {2!r} objects, try "
                   "using the 'apply' method".format(kind, name,
                                                     type(self).__name__))
>           raise AttributeError(msg)
E           AttributeError: Cannot access callable attribute 'sort_values' of 'DataFrameGroupBy' objects, try using the 'apply' method

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:799: AttributeError
_______________ test_groupby_sort_changes_order_but_not_result2 ________________

    def test_groupby_sort_changes_order_but_not_result2():
        a = (
            dp(mtcars)
>           .group_by("cyl")
            .sort_values("hp")
            .mutate(count={grp: sub_df.hp.rank() for (grp, sub_df) in X.itergroups()})
            .pd
        )

tests/test_single_verbs.py:438: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:762: in __getattr__
    return self._make_wrapper(attr)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddba19358>
name = 'sort_values'

    def _make_wrapper(self, name):
        if name not in self._apply_whitelist:
            is_callable = callable(getattr(self._selected_obj, name, None))
            kind = ' callable ' if is_callable else ' '
            msg = ("Cannot access{0}attribute {1!r} of {2!r} objects, try "
                   "using the 'apply' method".format(kind, name,
                                                     type(self).__name__))
>           raise AttributeError(msg)
E           AttributeError: Cannot access callable attribute 'sort_values' of 'DataFrameGroupBy' objects, try using the 'apply' method

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:799: AttributeError
_______________________ test_grouped_mutate_missing_keys _______________________

    def test_grouped_mutate_missing_keys():
>       actual = dp(mtcars).group_by("cyl").mutate(count={4: 170, 6: 180, 8: 190}).pd

tests/test_single_verbs.py:453: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc248f28>
attr = 'mutate'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'mutate'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
______________________ test_grouped_2_mutate_missing_keys ______________________

    def test_grouped_2_mutate_missing_keys():
        counts = {(4, 0): 40, (4, 1): 41, (6, 0): 60, (6, 1): 61, (8, 0): 80, (8, 1): 81}
>       actual = dp(mtcars).group_by("cyl", "vs").mutate(count=counts).pd

tests/test_single_verbs.py:462: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc248fd0>
attr = 'mutate'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'mutate'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
______________________________ test_basic_summary ______________________________

    def test_basic_summary():
>       actual = dp(mtcars).group_by("cyl").summarize((X.hp, len, "count")).pd

tests/test_single_verbs.py:476: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddbd31630>
attr = 'summarize'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'summarize'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
____________________________ test_summary_quantiles ____________________________

    def test_summary_quantiles():
        args = [
            ("disp", lambda x, q=q: x.quantile(q), "q%.2f" % q)
            for q in np.arange(0, 1.1, 0.1)
        ]
>       actual = dp(mtcars).sort_values("cyl").group_by("cyl").summarise(*args).pd

tests/test_single_verbs.py:488: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddbd4eef0>
attr = 'summarise'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'summarise'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
_________________________ test_empty_summarize_raises __________________________

    def test_empty_summarize_raises():
        with pytest.raises(ValueError):
>           dp(mtcars).group_by("cyl").summarize()

tests/test_single_verbs.py:508: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc20aac8>
attr = 'summarize'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'summarize'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
___________________________ test_summarise_non_tuple ___________________________

    def test_summarise_non_tuple():
        with pytest.raises(ValueError):
>           dp(mtcars).group_by("cyl").summarize(np.min)

tests/test_single_verbs.py:515: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddbd4ebe0>
attr = 'summarize'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'summarize'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
___________________________ test_summarize_auto_name ___________________________

    def test_summarize_auto_name():
>       actual = dp(mtcars).group_by("cyl").summarize(("hp", np.min))

tests/test_single_verbs.py:519: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddba211d0>
attr = 'summarize'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'summarize'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
___________________________________ test_do ____________________________________

    def test_do():
        def count_and_count_unique(df):
            return pd.DataFrame({"count": [len(df)], "unique": [(~df.duplicated()).sum()]})
    
>       actual = dp(mtcars).group_by("cyl").select("hp").do(count_and_count_unique).pd

tests/test_single_verbs.py:527: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:762: in __getattr__
    return self._make_wrapper(attr)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc20a588>
name = 'select'

    def _make_wrapper(self, name):
        if name not in self._apply_whitelist:
            is_callable = callable(getattr(self._selected_obj, name, None))
            kind = ' callable ' if is_callable else ' '
            msg = ("Cannot access{0}attribute {1!r} of {2!r} objects, try "
                   "using the 'apply' method".format(kind, name,
                                                     type(self).__name__))
>           raise AttributeError(msg)
E           AttributeError: Cannot access callable attribute 'select' of 'DataFrameGroupBy' objects, try using the 'apply' method

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:799: AttributeError
_________________________ test_do_categorical_grouping _________________________

    def test_do_categorical_grouping():
        def count_and_count_unique(df):
            return pd.DataFrame({"count": [len(df)], "unique": [(~df.duplicated()).sum()]})
    
        actual = (
            dp(mtcars)
            .mutate(cyl=pd.Categorical(X.cyl))
>           .group_by("cyl")
            .select("hp")
            .do(count_and_count_unique)
            .pd
        )

tests/test_single_verbs.py:541: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:762: in __getattr__
    return self._make_wrapper(attr)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddbd3c2e8>
name = 'select'

    def _make_wrapper(self, name):
        if name not in self._apply_whitelist:
            is_callable = callable(getattr(self._selected_obj, name, None))
            kind = ' callable ' if is_callable else ' '
            msg = ("Cannot access{0}attribute {1!r} of {2!r} objects, try "
                   "using the 'apply' method".format(kind, name,
                                                     type(self).__name__))
>           raise AttributeError(msg)
E           AttributeError: Cannot access callable attribute 'select' of 'DataFrameGroupBy' objects, try using the 'apply' method

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:799: AttributeError
________________________________ test_do_group2 ________________________________

    def test_do_group2():
        def count_and_count_unique(df):
            return pd.DataFrame({"count": [len(df)], "unique": [(~df.duplicated()).sum()]})
    
>       actual = dp(mtcars).group_by("cyl", "am").select("hp").do(count_and_count_unique).pd

tests/test_single_verbs.py:565: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:762: in __getattr__
    return self._make_wrapper(attr)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddbd9e080>
name = 'select'

    def _make_wrapper(self, name):
        if name not in self._apply_whitelist:
            is_callable = callable(getattr(self._selected_obj, name, None))
            kind = ' callable ' if is_callable else ' '
            msg = ("Cannot access{0}attribute {1!r} of {2!r} objects, try "
                   "using the 'apply' method".format(kind, name,
                                                     type(self).__name__))
>           raise AttributeError(msg)
E           AttributeError: Cannot access callable attribute 'select' of 'DataFrameGroupBy' objects, try using the 'apply' method

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:799: AttributeError
_______________________ test_filter_by_callable_grouped ________________________

    def test_filter_by_callable_grouped():
>       actual = dp(mtcars).group_by("cyl").filter_by(lambda x: x.hp.rank() <= 2).pd

tests/test_single_verbs.py:607: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddba193c8>
attr = 'filter_by'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'filter_by'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
____________________ test_grouped_filter_by_returns_series _____________________

    def test_grouped_filter_by_returns_series():
        actual = (
            dp(mtcars)
>           .group_by("cyl")
            .filter_by(
                {
                    grp: sub_df.hp.rank(ascending=False) <= 2
                    for (grp, sub_df) in X.itergroups()
                }
            )
            .pd.sort_index()
        )

tests/test_single_verbs.py:618: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc20add8>
attr = 'filter_by'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'filter_by'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError

----------- coverage: platform linux, python 3.6.6-final-0 -----------
Name                       Stmts   Miss Branch BrPart  Cover   Missing
----------------------------------------------------------------------
src/dppd/__init__.py          10      0      0      0   100%
src/dppd/base.py             178     20     86      3    85%   94-127, 257, 265, 276-277, 89->94, 263->265, 273->276
src/dppd/single_verbs.py     279     40    186     14    82%   283, 287-293, 308, 314, 367-374, 376, 397, 403, 411, 424-426, 430-434, 440-444, 483, 489-491, 496-500, 515, 668, 195->197, 280->283, 286->287, 375->376, 396->397, 402->403, 410->411, 421->424, 429->430, 438->440, 480->483, 488->489, 494->496, 667->668
----------------------------------------------------------------------
TOTAL                        467     60    272     17    84%

=============================== warnings summary ===============================
tests/test_single_verbs.py::test_group_by_head
  /home/finkernagel/upstream/dppd/tests/test_single_verbs.py:156: FutureWarning: 'select' is deprecated and will be removed in a future release. You can use .loc[labels.map(crit)] as a replacement
    actual = dp(mtcars).group_by("cyl").head(1).select("name").pd

-- Docs: https://docs.pytest.org/en/latest/warnings.html
============== 38 failed, 117 passed, 1 warnings in 6.15 seconds ===============
